epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.21175915125256903,0.1954,3.2163029411793094,2.842902326583862
2,0.3174193190023885,0.2714666666666667,2.6379799087079774,2.4933781654276745
3,0.4022051880242182,0.3107,2.288498006904049,2.318101625746869
4,0.48434705326889965,0.3315,1.9940483713285586,2.2525087488458513
5,0.5570182747319891,0.3392,1.7219617375263359,2.2980984829841775
6,0.6232016886074543,0.34026666666666666,1.4713157565354793,2.4404827990430467
7,0.6786702216297283,0.3350666666666667,1.2342207488347727,2.628938543035629
8,0.7291173693273343,0.3339666666666667,1.026673130325671,2.860161878707561
9,0.7623285008054214,0.33216666666666667,0.8586416983528178,3.0951374581519593
10,0.7896739432316836,0.33463333333333334,0.7310492645236899,3.2997765307730815
11,0.8122479586735544,0.33243333333333336,0.6425572307760528,3.502374668324247
12,0.8246903293895462,0.33266666666666667,0.5798661584284768,3.681297436166317
