epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.06694995278564683,0.0682,4.154564770184248,3.9859798742509853
2,0.060934288729656165,0.05793333333333334,4.225579509860546,4.074844985628433
3,0.0649114036549464,0.0647,4.238177656576466,4.053101258491402
4,0.06436704993612176,0.06533333333333333,4.24984795124218,4.024968064924293
5,0.07398766872187969,0.07016666666666667,4.247752211672786,4.0434766329173595
6,0.07117147142142977,0.0716,4.2501902404816345,4.028779874224144
7,0.06753318891295895,0.06866666666666667,4.247793741595732,4.039312425706941
8,0.059856690551574734,0.0608,4.253475477040301,4.081429120065815
9,0.0802366272287952,0.08023333333333334,4.253600653235784,4.041169359231555
10,0.05378548019774482,0.05276666666666667,4.25158467184298,4.106021752489656
11,0.07456535021940788,0.07386666666666666,4.250429308969611,4.045561543405691
12,0.06225629061823029,0.0604,4.245847964430889,4.0460946870002665
13,0.0695050824862523,0.0666,4.250622510825278,3.985256979968756
14,0.06185080264400378,0.06426666666666667,4.251400752123505,4.086021710052165
15,0.06469477309337332,0.06276666666666667,4.250924372223828,4.036852052216845
