epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.26541687496528354,0.24026666666666666,3.008903437816838,2.6920021332657416
2,0.3347164361495306,0.2998,2.5984616455894494,2.3889405366454297
3,0.36458368049769485,0.32043333333333335,2.3891712043618463,2.253581092555894
4,0.38498028106426707,0.3311,2.279421037005395,2.2021443465116946
5,0.4002832861189802,0.3401,2.220036447069376,2.1772878060717065
6,0.40927623173915456,0.345,2.176603757059536,2.1500316215222326
7,0.4157029383991557,0.34296666666666664,2.1487689536532346,2.1654098649014797
8,0.4216352830083875,0.3488,2.1224504164686584,2.1594242248962177
9,0.42925068044214854,0.34976666666666667,2.1003818925572086,2.15380773005455
10,0.43428317502638447,0.3514333333333333,2.086727167676023,2.1512422271883054
11,0.4364272621229795,0.3518,2.0687238963269867,2.1566204084262157
12,0.43849913903238347,0.3528,2.05981456051083,2.159374011605025
13,0.44170971504749207,0.35246666666666665,2.049423757075755,2.1675540051226423
14,0.446597789257346,0.3531666666666667,2.041849820248563,2.1706174469705837
15,0.4466588901849692,0.3541666666666667,2.0363973356251015,2.1732450225459994
16,0.4494528689662834,0.3504333333333333,2.0280913126413567,2.1913672505157082
17,0.45328000888740766,0.35223333333333334,2.020763204863094,2.17461609637051
18,0.45383547186580014,0.3571666666666667,2.0066883314388995,2.1814995483040556
19,0.4583347219907793,0.35746666666666665,2.0044144140288283,2.2034495131039162
20,0.4565239126812198,0.35496666666666665,2.002334636723152,2.196618557230496
