epoch,train_accuracy,dev_accuracy,train_loss,dev_loss
1,0.2682164083763817,0.2657,2.661679394972096,2.1863760674253423
2,0.2939176803866022,0.2888,2.389676003398502,2.0452232102130323
3,0.2925901238682442,0.2866666666666667,2.341385322847346,2.0600867575787483
4,0.30188301949675056,0.29636666666666667,2.3153328710866465,2.0160114481094036
5,0.30538799089040713,0.3007666666666667,2.3018413576235903,1.9887091707676015
6,0.30884852524579237,0.30046666666666666,2.292609008898867,1.9941711552599644
7,0.3158806865522413,0.3106333333333333,2.2837473098148924,1.9430806631737567
8,0.31261456423929346,0.3045,2.281893638659642,1.9694916258467006
9,0.31042604010442704,0.3041,2.272303797966551,1.9814589891027896
10,0.31315891795811807,0.30543333333333333,2.268633512206847,1.9598386865981081
11,0.3157196022885075,0.308,2.262023292879052,1.981936383754649
12,0.31461978559129034,0.3041,2.2538117274546674,1.9652151914353067
13,0.31625284674776427,0.3060333333333333,2.248127580282107,1.9795714692866548
